;Subject;Acq. Func.;Frequency Band;;Time Window;;CSP;SVM;;;
;;;min_freq;max_freq;t_start;t_end;n_components;C;kernel;gamma;cv
0;A01;EI;8;13;0.446;3.662;2;1.740637186;linear;scale;0.781
1;;PI;8;13;0.371;4;2;0.858125885;linear;scale;0.792
2;;LCB;8;13;0.377;3.761;2;1.481605908;linear;scale;0.802
3;;EI;13;30;0.551;2.829;8;1.395047216;linear;scale;0.899
4;;PI;13;30;0.631;2.832;8;0.222366453;linear;scale;0.896
5;;LCB;13;30;0.538;2.887;8;40.24305612;rbf;0.011103856;0.896
6;A02;EI;8;13;0.288;3.156;6;0.221881034;linear;scale;0.528
7;;PI;8;13;0.204;3.184;6;0.521724784;linear;scale;0.531
8;;LCB;8;13;0.296;3.075;7;1.200938441;linear;scale;0.538
9;;EI;13;30;1.199;4;8;79.68915269;rbf;0.00355399;0.743
10;;EI;13;30;1.199;4;8;79.68915269;rbf;0.00355399;0.743
11;;LCB;13;30;1.195;4;8;0.453623787;linear;scale;0.74
12;A03;EI;8;13;0.554;2.287;8;342.4043046;rbf;0.000281373;0.868
13;;PI;8;13;0.581;2.218;6;2.36456899;rbf;0.084491394;0.868
14;;PI;8;13;0.581;2.218;6;2.36456899;rbf;0.084491394;0.868
15;;EI;13;30;0.575;4;8;0.454013583;linear;scale;0.92
16;;EI;13;30;0.575;4;8;0.454013583;linear;scale;0.92
17;;LCB;13;30;0.517;4;8;84.56740412;rbf;0.003473002;0.924
18;A04;EI;8;13;0.229;2.085;5;0.108425994;linear;scale;0.518
19;;EI;8;13;0.446;3.129;8;0.545167398;linear;scale;0.601
20;;EI;8;13;0.446;3.129;8;0.545167398;linear;scale;0.601
21;;EI;13;30;0.446;3.129;8;0.545167398;linear;scale;0.601
22;;EI;13;30;0.446;3.129;8;0.545167398;linear;scale;0.601
23;;EI;13;30;0.446;3.129;8;0.545167398;linear;scale;0.601
24;A05;EI;8;13;0;1.025;8;3.233684474;linear;scale;0.424
25;;EI;8;13;0.782;1.94;3;5.306955419;linear;scale;0.583
26;;PI;8;13;0.647;1.92;5;0.673946577;linear;scale;0.59
27;;EI;13;30;0.782;1.94;3;5.306955419;linear;scale;0.583
28;;PI;13;30;0.647;1.92;5;0.673946577;linear;scale;0.59
29;;PI;13;30;0.647;1.92;5;0.673946577;linear;scale;0.59
30;A06;EI;8;13;0.505;1.599;6;56.92549641;linear;scale;0.528
31;;EI;8;13;0.303;3.755;4;0.287421978;linear;scale;0.583
32;;PI;8;13;0.27;3.594;4;0.279185629;linear;scale;0.58
33;;EI;13;30;0.303;3.755;4;0.287421978;linear;scale;0.583
34;;PI;13;30;0.27;3.594;4;0.279185629;linear;scale;0.58
35;;LCB;13;30;0.28;3.809;7;112.382982;rbf;0.003982864;0.587
36;A07;EI;8;13;0.737;3.75;7;937.5539388;rbf;0.000304591;0.701
37;;EI;8;13;0.278;2.646;5;170.0911069;linear;scale;0.865
38;;EI;8;13;0.278;2.646;5;170.0911069;linear;scale;0.865
39;;EI;13;30;0.278;2.646;5;170.0911069;linear;scale;0.865
40;;EI;13;30;0.278;2.646;5;170.0911069;linear;scale;0.865
41;;EI;13;30;0.278;2.646;5;170.0911069;linear;scale;0.865
42;A08;EI;8;13;0.444;3.133;8;880.2694731;rbf;0.000276893;0.864
43;;PI;8;13;0.324;3.345;8;332.8463268;rbf;0.000457197;0.868
44;;LCB;8;13;0.376;2.844;7;0.497883422;linear;scale;0.868
45;;EI;13;30;0.444;3.133;8;880.2694731;rbf;0.000276893;0.864
46;;PI;13;30;0.324;3.345;8;332.8463268;rbf;0.000457197;0.868
47;;LCB;13;30;0.376;2.844;7;0.497883422;linear;scale;0.868
48;A09;EI;8;13;0.435;1.667;8;1.889619647;linear;scale;0.899
49;;PI;8;13;0.618;1.686;8;0.267415667;linear;scale;0.899
50;;PI;8;13;0.618;1.686;8;0.267415667;linear;scale;0.899
51;;EI;13;30;0.435;1.667;8;1.889619647;linear;scale;0.899
52;;PI;13;30;0.618;1.686;8;0.267415667;linear;scale;0.899
53;;PI;13;30;0.618;1.686;8;0.267415667;linear;scale;0.899
